0,162

999,163

1999,162

3001,160

4000,162

999,162

1999,161

3001,249

4001,274

5002,158

6002,158

7003,195

8003,235

9004,168

10004,157

11004,146

12005,162

13005,128

14006,120

15006,105

16007,108

17007,110

18008,111

19008,126

20008,138

21009,130

22009,129

23011,131

24011,117

25012,114

26012,113

27013,113

28013,112

29014,112

30014,112

31014,118

32015,125

33015,116

34016,114

35016,124

36017,117

37018,117

38019,117

39019,118

40019,118

41020,118

42020,212

43021,154

44021,153

45022,152

46022,178

47023,437

48023,453

49024,456

50024,464

51024,479

52026,461

53026,420

54027,646

55027,684

56028,696

57028,715

58029,763

59029,791

60029,773

61030,775

62030,777

63031,755

64031,777

65032,775

66033,774

67034,774

68034,774

69035,779

70035,768

71035,767

72036,761

73036,759

74037,756

75037,749
